| Backend     | NITEMS    | PADLENGTH | Insert Time   | Search Time   |
|-------------|-----------|-----------|---------------|---------------|
|UNSORTED     |         10|          1|   5.9346e-05 s|    8.449e-06 s|
|UNSORTED     |         10|          2|    5.152e-05 s|     9.26e-06 s|
|UNSORTED     |         10|          4|   9.9058e-05 s|   1.5298e-05 s|
|UNSORTED     |         10|          8|   9.7631e-05 s|   1.5391e-05 s|
|UNSORTED     |        100|          1|   0.00054559 s|   0.00037618 s|
|UNSORTED     |        100|          2|   0.00057918 s|   0.00041042 s|
|UNSORTED     |        100|          4|   0.00071502 s|   0.00052822 s|
|UNSORTED     |        100|          8|   0.00071533 s|   0.00064766 s|
|UNSORTED     |       1000|          1|     0.041307 s|     0.021027 s|
|UNSORTED     |       1000|          2|     0.021746 s|     0.023139 s|
|UNSORTED     |       1000|          4|     0.023786 s|     0.020766 s|
|UNSORTED     |       1000|          8|     0.026505 s|     0.021453 s|
|SORTED       |         10|          1|   0.00014401 s|    2.176e-05 s|
|SORTED       |         10|          2|   0.00015105 s|   2.3607e-05 s|
|SORTED       |         10|          4|   0.00015779 s|   2.3688e-05 s|
|SORTED       |         10|          8|   0.00015529 s|   2.4095e-05 s|
|SORTED       |        100|          1|    0.0044781 s|   0.00028346 s|
|SORTED       |        100|          2|    0.0041657 s|   0.00027336 s|
|SORTED       |        100|          4|    0.0042347 s|   0.00031535 s|
|SORTED       |        100|          8|    0.0042796 s|   0.00031595 s|
|SORTED       |       1000|          1|      0.38409 s|    0.0021349 s|
|SORTED       |       1000|          2|      0.34197 s|    0.0020832 s|
|SORTED       |       1000|          4|      0.30388 s|    0.0022631 s|
|SORTED       |       1000|          8|      0.30006 s|    0.0022408 s|
|BST          |         10|          1|   3.8732e-05 s|   1.3288e-05 s|
|BST          |         10|          2|   5.3876e-05 s|   1.2662e-05 s|
|BST          |         10|          4|   6.5651e-05 s|   1.7157e-05 s|
|BST          |         10|          8|   6.5132e-05 s|   1.7205e-05 s|
|BST          |        100|          1|   0.00021023 s|   0.00018556 s|
|BST          |        100|          2|    0.0008104 s|    0.0011822 s|
|BST          |        100|          4|   0.00091739 s|    0.0012176 s|
|BST          |        100|          8|   0.00085361 s|    0.0012445 s|
|BST          |       1000|          1|    0.0028103 s|    0.0035221 s|
|BST          |       1000|          2|    0.0064927 s|     0.011659 s|
|BST          |       1000|          4|     0.063208 s|     0.060158 s|
|BST          |       1000|          8|      0.03351 s|     0.061272 s|
|RBTREE       |         10|          1|   5.0089e-05 s|   1.3209e-05 s|
|RBTREE       |         10|          2|   5.4943e-05 s|   1.1863e-05 s|
|RBTREE       |         10|          4|   9.6451e-05 s|   2.0616e-05 s|
|RBTREE       |         10|          8|   0.00010827 s|   2.0066e-05 s|
|RBTREE       |        100|          1|   0.00033226 s|   0.00018598 s|
|RBTREE       |        100|          2|   0.00041691 s|   0.00019749 s|
|RBTREE       |        100|          4|   0.00040339 s|   0.00022352 s|
|RBTREE       |        100|          8|   0.00043263 s|   0.00022453 s|
|RBTREE       |       1000|          1|    0.0039059 s|    0.0022941 s|
|RBTREE       |       1000|          2|    0.0037831 s|    0.0022534 s|
|RBTREE       |       1000|          4|    0.0040049 s|    0.0024196 s|
|RBTREE       |       1000|          8|    0.0040852 s|    0.0025927 s|
|TREAP        |         10|          1|   0.00032415 s|   1.6605e-05 s|
|TREAP        |         10|          2|   0.00029108 s|   1.9557e-05 s|
|TREAP        |         10|          4|   0.00035188 s|   2.1956e-05 s|
|TREAP        |         10|          8|   0.00033153 s|   2.0335e-05 s|
|TREAP        |        100|          1|    0.0023346 s|   0.00021655 s|
|TREAP        |        100|          2|    0.0019833 s|    0.0002218 s|
|TREAP        |        100|          4|    0.0019336 s|   0.00027287 s|
|TREAP        |        100|          8|    0.0020517 s|   0.00032164 s|
|TREAP        |       1000|          1|     0.018613 s|    0.0036043 s|
|TREAP        |       1000|          2|     0.017958 s|    0.0033934 s|
|TREAP        |       1000|          4|     0.019611 s|    0.0037035 s|
|TREAP        |       1000|          8|     0.018474 s|    0.0037275 s|
